currentTimestep,currentTime,totalTimestepsRun,versions,currentMassFlowRate,currentOxidiserMass,currentFuelMass,currentRocketTotalMass,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange
1,1,1,1,30628.52738619129,6446032.690811836,1074338.7818019723,7951371.472613809,45188045.85365853,5.683050528993097,5.683050528993097,5.683050528993097,5.683050528993097,5.683050528993097,63.31871171298348
20,20,20,1,30628.52738619129,5947225.244808147,991204.2074680245,7369429.452276174,43430919.419741645,5.893389671615251,5.893389671615251,118.56678240143616,118.56678240143616,1238.056702230902,64.74505489870067
40,40,40,1,30628.52738619129,5395911.7518567005,899318.6253094509,6726230.377166157,36107383.26261629,5.343811935793036,5.343811935793036,229.72965620461613,229.72965620461613,4795.884165942645,70.68991788148786
60,60,60,1,30628.52738619129,4870851.282379133,811808.5470631904,6113659.829442331,38481879.03970325,6.263032723217815,6.263032723217815,342.75844106944766,342.75844106944766,10545.360815560733,68.7624266060806
80,80,80,1,30628.52738619129,4345790.812901565,724298.4688169298,5501089.281718505,54006065.57186806,9.817340313189192,9.817340313189192,506.95935276683457,506.95935276683457,18860.71162962065,56.16070526916085
100,100,100,1,30628.52738619129,3820730.343423997,636788.3905706693,4888518.733994679,70666300.64275081,14.455565067458682,14.455565067458682,751.5776104880381,751.5776104880381,31412.468880313874,42.63679924446525
120,120,120,1,30628.52738619129,3295669.873946429,549278.3123244088,4275948.186270853,80328481.34547773,18.78612131068266,18.78612131068266,1085.239712495593,1085.239712495593,48034.11250931884,34.793547137796004
140,140,140,1,30628.52738619129,2770609.4044688614,461768.23407814826,3663377.6385470266,87161964.5203886,23.792787181765647,23.792787181765647,1511.642586478246,1511.642586478246,74049.43400048412,29.246483492796877
160,160,160,1,30628.52738619129,2245548.9349912936,374258.1558318877,3050807.0908232005,93255582.72886394,30.567512121423825,30.567512121423825,2054.609370119964,2054.609370119964,109756.96439647028,24.30000346708449
180,180,180,1,30628.52738619129,1720488.4655137293,286748.0775856272,2438236.5430993745,99271435.82966268,40.71444015988432,40.71444015988432,2764.9627461822583,2764.9627461822583,157968.385513281,19.4166490817814
200,200,200,1,30628.52738619129,1195427.996036166,199237.99933936624,1825665.9953755485,105281174.08446132,57.667270109177046,57.667270109177046,3740.993835134224,3740.993835134224,214327.45173202408,14.538258408113148
220,220,220,1,30628.52738619129,670367.5265586012,111727.9210931052,1213095.4476517225,110990065.25859097,89.24011073695634,89.24011073695634,5114.320822614664,5114.320822614664,298187.0554858061,9.904079633584471
240,240,240,1,30628.52738619129,145307.05708103583,24217.84284684439,600524.8999278964,117299850.62672897,195.32887086083005,195.32887086083005,7890.358776463458,7890.358776463458,432299.6568612615,4.782126432345734
